"","id","n","correct","near","t","l","cond","csv"
"581",309,10,1,30,792,2,"uncued",5
"582",309,10,1,70,750,2,"uncued",8
"583",309,20,0,70,24,2,"uncued",7
"584",309,50,0,30,2000,2,"uncued",18
"585",309,20,1,70,270,2,"uncued",2
"586",309,30,0,30,382,2,"uncued",9
"587",309,50,0,70,649,2,"uncued",3
"588",309,40,0,30,804,2,"uncued",17
"589",309,50,1,30,639,2,"uncued",1
"590",309,30,1,70,759,2,"uncued",15
"591",309,40,0,70,979,2,"uncued",20
"592",309,40,0,30,2486,2,"uncued",18
"593",309,10,1,30,1185,2,"uncued",14
"594",309,50,1,70,1257,2,"uncued",8
"595",309,30,0,70,648,2,"uncued",11
"596",309,50,1,70,552,2,"uncued",17
"597",309,50,1,30,996,2,"uncued",7
"598",309,10,0,70,528,2,"uncued",19
"599",309,30,0,30,1060,2,"uncued",6
"600",309,40,0,70,437,2,"uncued",2
"601",310,40,0,30,1438,2,"uncued",9
"602",310,50,1,30,1472,2,"uncued",11
"603",310,20,1,30,2495,2,"uncued",20
"604",310,40,0,30,2460,2,"uncued",6
"605",310,50,1,30,1391,2,"uncued",9
"606",310,10,1,70,2713,2,"uncued",18
"607",310,10,1,70,2970,2,"uncued",16
"608",310,30,1,70,1547,2,"uncued",5
"609",310,10,0,70,1874,2,"uncued",20
"610",310,20,1,70,1652,2,"uncued",3
"611",310,40,1,30,1223,2,"uncued",1
"612",310,20,0,30,1187,2,"uncued",16
"613",310,20,0,70,1994,2,"uncued",18
"614",310,20,1,30,1561,2,"uncued",13
"615",310,10,0,70,1834,2,"uncued",16
"616",310,50,1,70,1604,2,"uncued",14
"617",310,50,0,70,1259,2,"uncued",20
"618",310,40,1,30,1133,2,"uncued",1
